"Partei: Nr","Partei:Kurzbezeichnung","Partei: Name","Thesen: Nr.","These: These","Position: Position","Position: Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",1,"Bei der Terrorismusbekämpfung soll die Bundeswehr im Inland eingesetzt werden dürfen. ","stimmt zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",1,"Bei der Terrorismusbekämpfung soll die Bundeswehr im Inland eingesetzt werden dürfen. ","stimmt nicht zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",1,"Bei der Terrorismusbekämpfung soll die Bundeswehr im Inland eingesetzt werden dürfen. ","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",1,"Bei der Terrorismusbekämpfung soll die Bundeswehr im Inland eingesetzt werden dürfen. ","stimmt nicht zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",1,"Bei der Terrorismusbekämpfung soll die Bundeswehr im Inland eingesetzt werden dürfen. ","stimmt nicht zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",1,"Bei der Terrorismusbekämpfung soll die Bundeswehr im Inland eingesetzt werden dürfen. ","stimmt nicht zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",2,"Dieselkraftstoff für Pkw soll höher besteuert werden.","stimmt nicht zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",2,"Dieselkraftstoff für Pkw soll höher besteuert werden.","stimmt nicht zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",2,"Dieselkraftstoff für Pkw soll höher besteuert werden.","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",2,"Dieselkraftstoff für Pkw soll höher besteuert werden.","stimmt nicht zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",2,"Dieselkraftstoff für Pkw soll höher besteuert werden.","stimmt zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",2,"Dieselkraftstoff für Pkw soll höher besteuert werden.","stimmt zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",3,"Für die Aufnahme von neuen Asylsuchenden soll eine jährliche Obergrenze gelten.","neutral","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",3,"Für die Aufnahme von neuen Asylsuchenden soll eine jährliche Obergrenze gelten.","stimmt nicht zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",3,"Für die Aufnahme von neuen Asylsuchenden soll eine jährliche Obergrenze gelten.","stimmt zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",3,"Für die Aufnahme von neuen Asylsuchenden soll eine jährliche Obergrenze gelten.","stimmt nicht zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",3,"Für die Aufnahme von neuen Asylsuchenden soll eine jährliche Obergrenze gelten.","stimmt nicht zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",3,"Für die Aufnahme von neuen Asylsuchenden soll eine jährliche Obergrenze gelten.","stimmt nicht zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",4,"Der Ausbau erneuerbarer Energien soll vom Bund dauerhaft finanziell gefördert werden. ","stimmt nicht zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",4,"Der Ausbau erneuerbarer Energien soll vom Bund dauerhaft finanziell gefördert werden. ","stimmt zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",4,"Der Ausbau erneuerbarer Energien soll vom Bund dauerhaft finanziell gefördert werden. ","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",4,"Der Ausbau erneuerbarer Energien soll vom Bund dauerhaft finanziell gefördert werden. ","stimmt nicht zu","Keine Begründung"
5,"DIE LINKE","DIE LINKE",4,"Der Ausbau erneuerbarer Energien soll vom Bund dauerhaft finanziell gefördert werden. ","stimmt zu","Keine Begründung"
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",4,"Der Ausbau erneuerbarer Energien soll vom Bund dauerhaft finanziell gefördert werden. ","stimmt zu","Keine Begründung"
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",5,"Der Bund soll mehr Mittel für den sozialen Wohnungsbau bereitstellen.","stimmt zu","Keine Begründung"
2,"SPD","Sozialdemokratische Partei Deutschlands",5,"Der Bund soll mehr Mittel für den sozialen Wohnungsbau bereitstellen.","stimmt zu","Keine Begründung"
3,"AfD","Alternative für Deutschland",5,"Der Bund soll mehr Mittel für den sozialen Wohnungsbau bereitstellen.","stimmt nicht zu","Keine Begründung"
4,"FDP","Freie Demokratische Partei",5,"Der Bund soll mehr Mittel für den sozialen Wohnungsbau bereitstellen.","stimmt nicht zu","Keine Begründung"
